day,date,base_region_1,base_region_2,base_region_3,base_region_4,base_state,now_region_1,now_region_2,now_region_3,now_region_4,now_state,now_1_p,now_2_p,now_3_p,now_4_p,now_5_p
Sun,2022-01-16,9370.4,6599.15,10077.6,9411.2,9223.11832812973,5806.0,4013.0,4467.0,6111.0,4984.0,-0.3803893110219414,-0.3918913799504481,-0.5567396999285544,-0.35066729003740227,-0.459618772883004
Mon,2022-01-17,13013.4,8715.3,13415.6,11901.2,12270.9591666189,8760.0,6813.0,9200.0,11012.0,9142.0,-0.3268477108211536,-0.21827131596158478,-0.3142311935358836,-0.07471515477430857,-0.2549889641170604
Tue,2022-01-18,13075.2,8725.9,14488.2,13144.2,13016.2750158755,11883.0,8158.0,13225.0,13207.0,12230.0,-0.09118024963289284,-0.06508211187384683,-0.08718819453072157,0.0047777727058322395,-0.06040706845211152
Wed,2022-01-19,13478.2,8818.8,14636.0,13319.5,13202.1165885281,12479.0,8205.0,12804.0,12536.0,11996.0,-0.07413452834948286,-0.0696013063001768,-0.12517081169718502,-0.05882352941176472,-0.09135781981929691
Thu,2022-01-20,13881.2,8911.7,14783.8,13494.8,13387.9581611808,12256.0,8257.0,12510.0,13239.0,11964.0,-0.11707921505345364,-0.0734652198794844,-0.15380348760129325,-0.01895544950647654,-0.10636111526772274
Fri,2022-01-21,14250.1,9348.2,15434.6,14756.2,14037.450279859,13104.0,8594.0,14073.0,13838.0,13032.0,-0.0804275057718894,-0.08067863331978353,-0.08821738172676974,-0.062224691993873815,-0.07162627541424849
Sat,2022-01-22,10961.3,7436.35,12407.2,11819.0,11180.35465526,10419.0,6871.0,11466.0,11074.0,10514.0,-0.0494740587339092,-0.07602520053520889,-0.07585917854149204,-0.06303409763939416,-0.05960049352696528
Sun,2022-01-23,9542.8,6564.4,10468.2,9680.6,9488.25280291063,9148.0,6170.0,9380.0,9280.0,8828.0,-0.04137150521859401,-0.06008165255011877,-0.10395292409392265,-0.041381732537239424,-0.06958634182977197
Mon,2022-01-24,12574.6,8467.65,14351.4,13226.8,12829.9189030578,12117.0,7831.0,12802.0,12720.0,11909.0,-0.03639081958869472,-0.07518614964010084,-0.10796159259723792,-0.03831614600659261,-0.07177901201217363
Tue,2022-01-25,12756.5,8681.075,13945.0,13238.0,12685.9220902653,12658.0,8173.0,13253.0,13399.0,12409.0,-0.007721553717712548,-0.05852673776001249,-0.049623520975259905,0.012161957999697881,-0.021829086470411152
Wed,2022-01-26,13344.3,8894.5,14773.2,13995.4,13358.2655933065,12905.0,8302.0,13276.0,13484.0,12494.0,-0.03292042295212183,-0.06661419978638483,-0.10134568001516264,-0.03654057761836027,-0.06469893769289647
Thu,2022-01-27,13927.0,9199.25,15359.4,14282.4,13851.7125476166,13026.0,8625.0,13220.0,13707.0,12587.0,-0.06469447835140374,-0.0624235671386254,-0.13928929515475863,-0.04028734666442613,-0.09130369571769759
Fri,2022-01-28,14794.2,9985.2,15800.0,15080.8,14467.5117275492,13340.0,8972.0,13869.0,14328.0,13127.0,-0.09829527787916892,-0.10147017586027329,-0.12221518987341773,-0.049917776245292034,-0.09265668850273556
Sat,2022-01-29,11026.4,7897.0,12457.6,11576.4,11255.822063886,10336.0,7105.0,11150.0,11709.0,10464.0,-0.06261336428934194,-0.100291249841712,-0.10496403801695353,0.01145433813620822,-0.07034777730065045
Sun,2022-01-30,9497.0,6441.0,10459.0,9972.0,9523.0,9436.0,6528.0,9395.0,9639.0,9004.0,-0.006423080972938866,0.013507219375873403,-0.10173056697581029,-0.03339350180505418,-0.054499632468759884
Mon,2022-01-31,13125.8,8894.4,14311.6,12878.8,12922.2560331028,12550.0,8249.0,13045.0,12893.0,12196.0,-0.0438678023434762,-0.07256251124302926,-0.08850163503731245,0.0011025871975649526,-0.05620195353213542
Tue,2022-02-01,13061.8,8564.8,14639.6,13714.2,13148.1886323466,13120.0,8509.0,13708.0,13563.0,12793.0,0.004455741168904792,-0.006515038296282416,-0.06363561845952082,-0.011025068906680757,-0.02701426350644076
Wed,2022-02-02,13344.3,8894.5,14773.2,13995.4,13358.2655933065,13008.0,8327.0,12778.0,13154.0,12226.0,-0.025201771542905926,-0.06380347405700149,-0.13505537053583516,-0.06011975363333666,-0.08476142246144969
Thu,2022-02-03,13927.0,9199.25,15359.4,14282.4,13851.7125476166,12316.0,7962.0,11863.0,5635.0,10207.0,-0.11567458892798166,-0.13449465989075193,-0.22763910048569602,-0.6054584663641964,-0.2631236054810947
Fri,2022-02-04,14794.2,9985.2,15800.0,15080.8,14467.5117275492,12996.0,8817.0,11108.0,9578.0,10862.0,-0.12154763353205988,-0.11699314986179554,-0.29696202531645566,-0.3648878043605114,-0.24921436356492066
Sat,2022-02-05,11145.0,7897.0,12472.0,11527.0,11276.7429018009,10657.0,7419.0,11425.0,10393.0,10473.0,-0.04378645132346348,-0.060529314929720135,-0.0839480436177037,-0.09837772187039129,-0.07127438381809192
Sun,2022-02-06,9497.0,6441.0,10459.0,9972.0,9523.0,9510.0,6629.0,9755.0,9214.0,9123.0,0.0013688533221016819,0.029188014283496377,-0.0673104503298595,-0.0760128359406338,-0.04200357030347579
Mon,2022-02-07,13086.0,8385.0,14172.0,13204.0,12809.0,12181.0,8154.0,13241.0,12563.0,12135.0,-0.06915787864893774,-0.02754919499105546,-0.06569291560824164,-0.04854589518327779,-0.05261925208837537
Tue,2022-02-08,13247.0,8411.0,14945.0,14227.0,13387.0,13034.0,8523.0,13733.0,13715.0,12797.0,-0.016079112251830563,0.013315895850671833,-0.08109735697557707,-0.03598791031137982,-0.04407260775379096
Wed,2022-02-09,13814.0,8849.0,15192.0,14131.0,13668.0,13243.0,8630.0,13764.0,13776.0,12879.0,-0.041334877660344604,-0.024748559159227024,-0.09399684044233803,-0.025122072040195342,-0.05772607550482878
Thu,2022-02-10,14193.0,9305.0,15648.0,15060.0,14175.0,13639.0,8958.0,14166.0,14050.0,13244.0,-0.039033326287606585,-0.03729177861364863,-0.09470858895705525,-0.06706507304116871,-0.06567901234567897
